property_id,address,suburb,postcode,property_type,bedrooms,bathrooms,car_spaces,land_size_sqm,internal_area_sqm,year_built,has_pool,has_aircon,renovated,water_view,distance_to_cbd_km,distance_to_station_km,school_catchment_rating,sale_method,days_on_market,sale_date,agent_description,sale_price
PAR-005,17 Alfred St,Parramatta,2150,Apartment,2,1,1,0.0,91.7,1994.0,0,0,0,0,23.0,0.75,7.4,Private Treaty,49,2025-06-16,2 bedroom apartment in Parramatta. Premium blue chip pocket. Ducted air conditioning throughout. Low maintenance courtyard. Sun drenched living areas.,755000.0
MOS-008,160 Awaba St,Mosman,2088,Apartment,2,1,0,0.0,81.5,2025.0,0,0,1,0,6.5,2.29,9.2,Auction,20,2025-02-18,2 bedroom apartment in Mosman. Level lawn for the kids. High end designer kitchen. Generous open plan layout. Entertainer's rear deck.,2185000.0
PAR-009,179 Macquarie St,Parramatta,2150,House,4,2,3,677.9,361.5,1984.0,0,0,0,0,23.0,0.51,7.4,Private Treaty,58,2024-07-04,4 bedroom house in Parramatta. Resort style landscaped gardens. Quiet tree lined street. Ducted air conditioning throughout. Sun drenched living areas.,2065000.0
BLA-039,14 Balmoral St,Blacktown,2148,House,4,2,3,392.3,208.0,2009.0,0,1,0,0,36.0,0.59,5.8,Private Treaty,32,2025-01-01,4 bedroom house in Blacktown. High end designer kitchen. Generous open plan layout. Low maintenance courtyard. Immaculately presented.,1115000.0
BLA-023,159 Lancaster St,Blacktown,2148,Townhouse,3,1,2,378.0,272.3,2007.0,0,1,0,0,36.0,2.47,5.8,Auction,26,2024-07-20,3 bedroom townhouse in Blacktown. Secure garaging. Separate laundry with external access. Dual street frontage. Walk to village shops.,1175000.0
MOS-040,98 Redan St,Mosman,2088,House,4,3,1,338.6,231.1,1927.0,0,0,0,1,6.5,1.25,9.2,Private Treaty,29,2024-08-03,4 bedroom house in Mosman. Brand new bathrooms. Close to transport and schools. Separate laundry with external access. Soaring cathedral ceilings.,2905000.0
MOS-009,168 Raglan St,Mosman,2088,House,5,4,3,559.5,324.2,2017.0,1,1,0,0,6.5,1.27,9.2,Auction,54,2025-06-25,5 bedroom house in Mosman. Stunning north facing aspect. Soaring cathedral ceilings. Close to transport and schools. Internal access from garage.,6360000.0
BLA-011,33 Lancaster St,Blacktown,2148,House,4,3,2,562.5,353.6,1943.0,0,1,0,0,36.0,1.71,5.8,Auction,41,2023-11-26,4 bedroom house in Blacktown. Level lawn for the kids. Separate laundry with external access.,1230000.0
PAR-003,135 Harris St,Parramatta,2150,House,4,3,2,609.9,371.8,,0,0,0,0,23.0,0.9,7.4,Private Treaty,55,2025-04-21,4 bedroom house in Parramatta. Fully renovated throughout. Well maintained family home. Low maintenance courtyard. Resort style landscaped gardens.,2450000.0
BLA-010,91 Sunnyholt Rd,Blacktown,2148,Townhouse,3,2,1,195.5,165.1,1989.0,0,1,0,0,36.0,0.9,5.8,Auction,10,2024-03-03,3 bedroom townhouse in Blacktown. Dual street frontage. Generous open plan layout. Fully renovated throughout. Well maintained family home.,840000.0
PAR-033,168 Church St,Parramatta,2150,Apartment,2,1,1,0.0,112.2,2010.0,0,0,0,0,23.0,1.26,7.4,Auction,37,2024-02-24,2 bedroom apartment in Parramatta. Internal access from garage. Premium blue chip pocket. Stunning north facing aspect. Ducted air conditioning throughout.,985000.0
BLA-035,164 Burdekin Rd,Blacktown,2148,House,3,2,1,693.9,378.3,2025.0,0,0,0,0,36.0,1.13,5.8,Private Treaty,41,2024-09-14,3 bedroom house in Blacktown. Low maintenance courtyard. Level lawn for the kids.,1365000.0
MOS-015,73 Spit Rd,Mosman,2088,House,5,3,3,599.0,368.6,1970.0,0,1,0,1,6.5,1.94,9.2,Auction,49,2025-06-15,5 bedroom house in Mosman. Secure garaging. Resort style landscaped gardens. Internal access from garage. Dual street frontage.,7565000.0
PAR-018,34 Wentworth St,Parramatta,2150,House,5,4,1,534.6,234.3,1925.0,0,1,0,1,23.0,1.0,7.4,Private Treaty,50,2025-08-11,5 bedroom house in Parramatta. Secure garaging. Close to transport and schools. Stunning north facing aspect. Entertainer's rear deck.,1590000.0
BLA-013,41 Balmoral St,Blacktown,2148,House,4,2,3,624.5,324.5,1977.0,1,1,1,0,36.0,3.0,5.8,Auction,21,2024-05-08,4 bedroom house in Blacktown. Internal access from garage. Soaring cathedral ceilings. Low maintenance courtyard. Immaculately presented.,1320000.0
BLA-024,24 Third Ave,Blacktown,2148,House,5,3,3,604.4,368.9,1979.0,0,1,1,0,36.0,2.3,5.8,Private Treaty,68,2024-05-15,5 bedroom house in Blacktown. Generous open plan layout. Level lawn for the kids. Immaculately presented. Dual street frontage.,1820000.0
MOS-024,55 Belmont Rd,Mosman,2088,Apartment,1,1,1,0.0,62.9,2012.0,0,1,0,0,6.5,1.1,9.2,Auction,53,2025-01-23,1 bedroom apartment in Mosman. Well maintained family home. Secure garaging. Brand new bathrooms. Soaring cathedral ceilings.,1115000.0
BLA-004,128 Boys Ave,Blacktown,2148,Apartment,2,2,1,0.0,84.1,2015.0,0,0,0,0,36.0,2.28,5.8,Private Treaty,70,2025-04-16,2 bedroom apartment in Blacktown. Close to transport and schools. Generous open plan layout.,500000.0
PAR-028,149 Wentworth St,Parramatta,2150,Townhouse,3,3,2,110.0,85.3,1979.0,0,1,0,0,23.0,0.96,7.4,Private Treaty,42,2023-10-27,3 bedroom townhouse in Parramatta. Ducted air conditioning throughout. Secure garaging.,420000.0
MOS-026,128 Central Ave,Mosman,2088,Townhouse,2,1,0,152.9,107.0,1976.0,0,1,1,0,6.5,2.45,9.2,Private Treaty,56,2025-06-08,2 bedroom townhouse in Mosman. Fully renovated throughout. Close to transport and schools. Resort style landscaped gardens. Low maintenance courtyard.,1635000.0
PAR-029,169 Villiers St,Parramatta,2150,Apartment,3,2,0,,120.8,2010.0,0,1,1,0,23.0,1.15,7.4,Private Treaty,33,2024-01-23,3 bedroom apartment in Parramatta. High end designer kitchen. Stunning north facing aspect. Low maintenance courtyard. Quiet tree lined street.,1225000.0
PAR-008,81 Aird St,Parramatta,2150,Apartment,4,3,2,0.0,121.6,2003.0,0,0,0,0,23.0,1.18,7.4,Auction,13,2025-03-16,4 bedroom apartment in Parramatta. Stunning north facing aspect. Sun drenched living areas. Quiet tree lined street. Ducted air conditioning throughout.,1270000.0
